,,wire,wire,wire,wire,wire,wire,Resistor_r9,wire,wire,,,,,,,,,,,
,,wire,,,,wire,,,,wire,,,,,,,,,,,
,,wire,,,,wire,,,,wire,,,,,,,,,,,
,,wire,,,,wire,,,,Ammeter_a1,,,,,,,,,,,
,,Resistor_r5,,,,wire,,,,wire,wire,wire,,,,,,,,,
,,wire,,,,Resistor_r8,,,,Resistor_r4,,wire,,,,,,,,,
,,wire,,,,wire,,,,wire,,Voltmeter_v1,,,,,,,,,
,,wire,,,,wire,,,,wire,,wire,,,,,,,,,
,,wire,,,,wire,,,,wire,wire,wire,,,,,,,,,
,,wire,,,,wire,,,,wire,,,,,,,,,,,
wire,wire,wire,wire,Resistor_r6,wire,wire,wire,Resistor_ex2,wire,wire,,,,,,,,,,wire,wire
wire,,wire,,,,wire,,,,wire,,,,,,,,,,,wire
wire,,wire,,,,Resistor_r7,,,,wire,,,,,,,,,,,wire
wire,,Resistor_r1,,,,wire,,,,wire,,,,,,,,,,,wire
VoltageSource_v1,,wire,,,,wire,,,,Resistor_r3,,,,,,,,,,,Resistor_ex4
wire,,wire,,,,wire,,,,wire,,,,,,,,,,,wire
wire,,wire,wire,wire,wire,wire,wire,Resistor_r2,wire,wire,wire,wire,,,,,,,,,wire
wire,,,,,,,,,,,,wire,,,,,,,,,wire
wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,Resistor_ex1,wire,wire,,,,,,,,wire,wire
