wire,wire,Resistor_r3,wire,wire,wire,wire,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,wire,Resistor_r5,Ammeter_load,wire,wire,wire,wire,wire
wire,,,,wire,,,,,,,Resistor_rf,,wire,,wire
Diode_d1,,,,Diode_d2,,,,,,,wire,,wire,,wire
wire,,,,wire,,,,,,,Capacitor_CF,,Resistor_RL,,Voltmeter_load
wire,,,,wire,,,,,,,wire,,wire,,wire
wire,,,,wire,,,,,,,wire,,wire,,wire
wire,wire,jump3,,wire,wire,jump4,,,,,wire,,wire,,wire
wire,,,,wire,,,wire,wire,Resistor_r6,wire,wire,wire,wire,wire,wire
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
Diode_d3,,,,Diode_d4,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,,,,wire,,,wire,,,,,,,,
wire,wire,Resistor_r4,wire,wire,wire,wire,wire,,,,,,,,
